Employee ID,Department,Position,Date of Joining,Employment Status,Reason for Leaving,Tenure (years),Employee Satisfaction (out of 10),Engagement Score (out of 10),Salary,Benefits Package,Training Programs Attended,Career Development Plans,Work Environment Score (out of 10),Diversity Score (out of 10),Performance Ratings (out of 5),Performance Metrics,Gender,Age,Marital Status,Absenteeism (days/month),Target
13,IT,Sales Rep,2017-03-08,Resign,Relocation,7,9,9,119013,"Health, 401k",3,Yes,7,7,3,0.9696488708800822,Female,41,Divorced,1.3600120532792155,1
14,Sales,Manager,2021-06-29,Stay,,2,7,7,111569,"Health, Dental",5,No,7,8,3,0.9275712193873004,Male,38,Divorced,2.511752065943619,0
15,HR,Manager,2021-02-14,Resign,Better Opportunity,3,7,6,56054,"Health, Dental, 401k",2,No,10,9,4,0.8644153863552395,Male,39,Widowed,0.42563449507861006,1
16,Sales,Sales Rep,2017-04-04,Stay,,6,9,10,112190,"Health, Dental, 401k",2,No,7,9,5,0.8962658784818646,Male,51,Single,1.6988567370210705,0
17,Sales,Manager,2018-04-14,Stay,,5,10,7,75400,"Health, Dental",7,Yes,6,8,5,0.7666254569513133,Male,34,Divorced,1.5718683687057196,0
18,HR,Analyst,2021-03-30,Resign,Better Opportunity,2,7,7,54760,"Health, 401k",5,Yes,8,8,5,0.9757382073398548,Female,32,Divorced,2.96911484999463,1
19,Sales,Developer,2022-07-04,Resign,Better Opportunity,1,6,9,114349,"Health, Dental, 401k",4,Yes,7,6,4,0.9579207763610182,Male,39,Widowed,1.6406486089799632,1
20,Operations,Manager,2022-11-24,Stay,,1,7,6,55781,"Health, Dental",3,No,8,9,4,0.9361429861128695,Female,56,Single,3.3831088801210636,0
21,Finance,Sales Rep,2021-09-27,Stay,,2,10,10,64044,"Health, Dental, 401k",7,No,9,10,3,0.7076443068759428,Male,62,Divorced,2.4483272015332953,0
22,HR,Developer,2016-02-20,Stay,,8,6,5,114204,"Health, Dental",7,Yes,10,7,3,0.7583581454744507,Male,46,Single,4.47884572533107,0
23,Finance,Sales Rep,2016-02-09,Stay,,8,9,8,73135,"Health, Dental, 401k",5,No,7,8,4,0.9750092244737639,Female,49,Widowed,0.6163024539665013,0
24,HR,Analyst,2019-11-08,Resign,Relocation,4,10,5,68480,"Health, 401k",4,Yes,6,6,5,0.9427161784995832,Male,56,Single,0.05085832334393858,1
25,IT,Sales Rep,2021-07-12,Stay,,2,6,5,77621,"Health, Dental",3,No,7,6,4,0.9538478867230471,Male,36,Widowed,2.359909760343686,0
26,Finance,Analyst,2018-04-18,Stay,,5,6,6,58324,"Health, Dental",4,No,7,9,3,0.8213708501602767,Male,30,Married,1.3062206776180747,0
27,HR,Manager,2021-03-03,Stay,,3,6,6,95542,"Health, Dental",5,Yes,9,6,5,0.7769124191155699,Female,40,Single,2.1210646230647097,0
28,Sales,Developer,2019-08-13,Stay,,4,10,7,94155,"Health, Dental",3,No,6,6,4,0.9672093449126895,Female,49,Divorced,4.91675464890568,0
29,Finance,Administrator,2020-10-18,Stay,,3,8,8,72636,"Health, Dental, 401k",3,No,7,5,3,0.8118865971260615,Female,48,Divorced,4.660534700893274,0
30,Finance,Developer,2016-10-13,Resign,Better Opportunity,7,7,9,119112,"Health, Dental",4,Yes,6,8,5,0.7896611734326754,Female,45,Widowed,1.818317418306351,1
31,Finance,Administrator,2019-09-29,Resign,Relocation,4,8,6,86535,"Health, 401k",6,Yes,10,5,3,0.7902586939524876,Female,29,Married,3.440939768794359,1
32,HR,Manager,2022-09-11,Stay,,1,7,6,100151,"Health, Dental, 401k",2,Yes,6,7,3,0.9647297165466955,Male,32,Single,1.670540264499396,0
33,Sales,Sales Rep,2016-05-20,Stay,,7,10,7,64072,"Health, Dental, 401k",3,Yes,9,5,4,0.7530790160903111,Female,24,Divorced,2.058454451944123,0
34,Sales,Analyst,2020-05-17,Stay,,3,7,8,77231,"Health, Dental",6,No,6,7,5,0.949887201860417,Male,43,Married,0.2917519476218894,0
35,Sales,Analyst,2020-09-26,Stay,,3,10,10,63640,"Health, 401k",7,No,6,7,5,0.8432703198558893,Male,34,Widowed,0.6437778855911913,0
36,HR,Analyst,2022-04-05,Stay,,1,6,9,59979,"Health, 401k",4,No,10,9,4,0.778343123043338,Female,60,Widowed,3.8340838386488785,0
37,IT,Manager,2022-04-10,Stay,,1,9,8,56695,"Health, Dental, 401k",2,Yes,10,5,4,0.8752693711477324,Female,33,Divorced,4.867287344247454,0
38,Operations,Manager,2021-07-06,Stay,,2,8,8,66418,"Health, Dental",7,No,8,9,4,0.7836974458171155,Male,44,Divorced,3.85100141291964,0
39,Finance,Administrator,2017-03-27,Stay,,6,8,7,70771,"Health, Dental, 401k",6,No,6,10,3,0.8544666034933195,Female,61,Divorced,4.583016070721985,0
40,Finance,Developer,2020-02-21,Resign,Personal Reasons,4,10,10,104244,"Health, Dental",1,No,7,6,3,0.8841027466505984,Male,35,Divorced,1.5505594638199882,1
41,IT,Developer,2016-11-20,Resign,Better Opportunity,7,7,5,55556,"Health, 401k",7,Yes,10,9,3,0.8749071477296984,Female,55,Divorced,1.8706364645491376,1
42,Operations,Sales Rep,2016-01-07,Stay,,8,7,6,111663,"Health, Dental",4,No,10,5,4,0.944871180738952,Male,63,Married,0.2858088700620087,0
43,IT,Administrator,2017-05-01,Resign,Personal Reasons,6,9,5,77390,"Health, Dental",3,Yes,9,9,3,0.8856300406253688,Female,46,Widowed,0.28728891272360446,1
44,HR,Manager,2020-01-17,Stay,,4,6,5,72203,"Health, Dental",1,Yes,6,8,5,0.7661918507855369,Female,45,Widowed,4.7646461080953335,0
45,HR,Manager,2017-10-13,Stay,,6,7,5,78068,"Health, Dental, 401k",5,Yes,6,8,5,0.7884679395301869,Male,45,Married,1.0783782061289786,0
46,Operations,Analyst,2018-11-16,Resign,Relocation,5,7,7,64897,"Health, Dental, 401k",1,No,6,10,3,0.8206533195498245,Female,50,Divorced,1.132798650374165,1
47,HR,Administrator,2019-08-08,Stay,,4,6,9,111970,"Health, Dental, 401k",1,No,9,8,5,0.9308462009398554,Male,36,Divorced,1.342199525943375,0
48,Operations,Administrator,2017-09-01,Stay,,6,9,10,90333,"Health, Dental, 401k",1,No,7,6,5,0.9712547332870222,Male,51,Widowed,1.550347505003606,0
49,Sales,Manager,2020-09-26,Stay,,3,7,8,105606,"Health, Dental, 401k",2,Yes,7,5,3,0.7073597066497722,Male,61,Divorced,2.469149554257855,0
50,Operations,Administrator,2017-05-09,Stay,,6,10,5,66575,"Health, 401k",6,No,7,5,3,0.9980254444335956,Female,23,Widowed,2.016132401052326,0
51,Sales,Analyst,2015-03-06,Stay,,9,6,9,67455,"Health, 401k",6,Yes,8,8,3,0.8474386072211084,Male,50,Single,0.2565102389553958,0
52,IT,Analyst,2020-10-17,Stay,,3,7,7,89154,"Health, Dental",2,No,9,8,4,0.739523205417114,Female,52,Single,1.4580832489934903,0
53,IT,Manager,2018-02-18,Stay,,6,9,9,72485,"Health, 401k",2,Yes,9,9,5,0.8696325066609051,Male,37,Single,2.3734375446367566,0
54,HR,Manager,2017-10-08,Resign,Personal Reasons,6,8,10,100880,"Health, Dental, 401k",1,No,8,6,5,0.8375600041781595,Male,53,Widowed,4.181149091804085,1
55,Sales,Administrator,2017-05-20,Stay,,6,10,7,93902,"Health, Dental",3,No,6,6,3,0.7147964630668823,Female,50,Married,4.881740682151538,0
56,Sales,Administrator,2015-10-22,Stay,,8,10,8,96761,"Health, 401k",6,Yes,7,9,3,0.8732872876086444,Female,30,Single,0.645210948579657,0
57,Sales,Developer,2016-07-10,Stay,,7,10,6,93665,"Health, Dental",3,No,10,8,4,0.9794713489211267,Male,58,Divorced,1.5348416159715788,0
58,Sales,Administrator,2016-05-17,Stay,,7,10,6,86605,"Health, Dental, 401k",1,No,7,5,4,0.8417891854109473,Male,41,Divorced,0.21232441086379672,0
59,Finance,Administrator,2019-11-24,Stay,,4,8,8,102264,"Health, Dental, 401k",7,Yes,9,10,5,0.7687608021211377,Male,37,Widowed,0.8718992146100601,0
60,Finance,Sales Rep,2017-01-25,Resign,Relocation,7,8,10,50227,"Health, 401k",1,Yes,8,10,3,0.9012821410052386,Male,40,Widowed,3.5978101631396093,1
61,IT,Manager,2017-02-21,Stay,,7,8,7,77483,"Health, Dental, 401k",3,No,8,9,5,0.7802876464831506,Female,63,Married,4.110238171434776,0
62,Finance,Administrator,2019-10-29,Stay,,4,8,6,110960,"Health, Dental",4,Yes,9,6,5,0.9745573136537111,Male,22,Widowed,0.37557923753038625,0
63,HR,Sales Rep,2016-12-22,Resign,Better Opportunity,7,9,10,115176,"Health, Dental",7,No,9,8,3,0.8431136825582621,Female,22,Divorced,3.6732361032437044,1
64,Finance,Administrator,2016-07-24,Stay,,7,7,10,64345,"Health, Dental",5,Yes,8,7,3,0.9353663464123474,Female,23,Divorced,2.1031212258403222,0
65,Operations,Manager,2015-04-16,Stay,,8,8,5,62205,"Health, 401k",1,No,9,9,5,0.714741266430832,Male,32,Divorced,1.9914140533658324,0
66,Sales,Developer,2021-09-28,Stay,,2,8,10,100701,"Health, Dental",6,No,7,8,5,0.9197466581592009,Male,52,Widowed,4.932858997676746,0
67,IT,Analyst,2018-10-30,Stay,,5,9,7,67572,"Health, Dental",1,No,8,10,4,0.7443928357138476,Female,32,Divorced,1.8327133860489413,0
68,Operations,Manager,2017-06-14,Stay,,6,6,6,53370,"Health, Dental, 401k",2,Yes,8,5,4,0.7653153619742744,Male,57,Single,0.5024274712986315,0
69,Finance,Manager,2019-03-09,Stay,,5,9,6,98892,"Health, 401k",2,No,10,7,3,0.9583925170213534,Male,24,Single,0.9363098138321002,0
70,Operations,Sales Rep,2015-05-05,Stay,,8,6,5,92264,"Health, 401k",1,No,7,7,5,0.7371775430931302,Female,23,Divorced,3.134015971447708,0
71,Operations,Sales Rep,2019-09-03,Resign,Better Opportunity,4,10,8,104064,"Health, 401k",4,No,7,5,4,0.7884132164312418,Male,31,Married,3.6717233829033686,1
72,Operations,Sales Rep,2020-08-12,Stay,,3,9,6,112428,"Health, 401k",7,No,6,10,3,0.8109721700073924,Male,64,Married,3.071255487411189,0
73,Finance,Developer,2021-12-30,Stay,,2,10,10,116040,"Health, Dental, 401k",4,No,10,5,5,0.9730031704145381,Male,25,Divorced,3.780316292277951,0
74,Operations,Sales Rep,2020-12-12,Resign,Personal Reasons,3,6,5,108540,"Health, 401k",6,Yes,9,5,3,0.7428668915741459,Female,58,Widowed,2.5106693108393485,1
75,Operations,Manager,2021-11-11,Stay,,2,9,9,52650,"Health, 401k",6,No,8,10,3,0.8850804911256405,Male,35,Widowed,3.1702518419729744,0
76,Operations,Sales Rep,2018-03-04,Stay,,6,6,8,102360,"Health, Dental",2,Yes,10,9,5,0.7608723291495894,Male,57,Single,0.01308650116681187,0
77,HR,Administrator,2022-08-16,Stay,,1,6,7,73190,"Health, 401k",5,No,6,9,4,0.7866426839651494,Female,37,Widowed,0.11898460780608133,0
78,Operations,Administrator,2016-07-28,Stay,,7,10,8,86334,"Health, 401k",1,No,6,8,3,0.8335180112301477,Male,31,Widowed,1.6738675875557796,0
79,Finance,Analyst,2015-01-17,Stay,,9,6,6,101718,"Health, Dental, 401k",7,No,7,7,5,0.8641679732106755,Female,61,Married,1.3368806483268525,0
80,IT,Administrator,2020-08-22,Stay,,3,7,6,82975,"Health, 401k",4,No,8,7,5,0.75261209104784,Male,40,Widowed,2.0631296026386265,0
81,HR,Analyst,2016-07-08,Stay,,7,8,5,65299,"Health, 401k",4,Yes,6,10,4,0.8786565871317596,Female,24,Married,2.598594491178346,0
82,Sales,Administrator,2017-02-09,Stay,,7,9,6,94149,"Health, Dental, 401k",6,No,9,7,3,0.8821733155735426,Male,63,Married,0.9493320517831588,0
83,Sales,Developer,2016-07-20,Stay,,7,10,8,102544,"Health, Dental, 401k",7,Yes,7,10,4,0.8225605826190503,Male,26,Married,4.396198142390302,0
84,Finance,Analyst,2016-10-22,Stay,,7,8,10,66612,"Health, 401k",1,Yes,10,6,4,0.7602160420744397,Female,36,Divorced,2.1992469144432736,0
85,HR,Administrator,2017-12-13,Resign,Personal Reasons,6,10,5,67432,"Health, Dental, 401k",6,No,8,6,3,0.8001781829089389,Male,37,Divorced,2.455996352825165,1
86,HR,Analyst,2017-10-08,Stay,,6,7,9,102265,"Health, 401k",5,No,7,5,5,0.7294109774983523,Male,42,Married,0.43682584864419227,0
87,Sales,Analyst,2022-11-27,Stay,,1,8,9,101394,"Health, Dental",2,Yes,10,7,3,0.9234513261710738,Male,47,Divorced,1.2353017511024544,0
88,IT,Administrator,2015-07-19,Stay,,8,9,10,72948,"Health, Dental, 401k",1,Yes,6,8,4,0.7043851900017262,Male,64,Married,3.9669688821589535,0
89,Operations,Manager,2016-07-15,Resign,Better Opportunity,7,6,10,104850,"Health, Dental, 401k",5,Yes,6,8,5,0.7995372504369546,Female,40,Divorced,2.4355083394801795,1
90,IT,Sales Rep,2021-10-26,Resign,Better Opportunity,2,6,9,110300,"Health, Dental, 401k",3,Yes,7,8,5,0.9773021536483473,Male,44,Married,1.28648724792513,1
91,HR,Analyst,2018-04-01,Stay,,5,8,5,65167,"Health, 401k",3,Yes,6,6,4,0.7562557950190057,Female,42,Single,0.4300196881046814,0
92,Finance,Analyst,2015-03-29,Stay,,8,10,8,80488,"Health, Dental",5,Yes,7,6,5,0.8570546631803777,Female,64,Married,4.155841015369361,0
93,IT,Analyst,2015-02-07,Stay,,9,9,5,60159,"Health, Dental",6,Yes,9,9,3,0.7447734968867081,Male,24,Widowed,4.070129566850351,0
94,IT,Sales Rep,2017-06-18,Stay,,6,6,10,64768,"Health, 401k",7,Yes,6,7,3,0.9849305214458873,Male,29,Widowed,2.0436078393344026,0
95,HR,Analyst,2021-08-01,Stay,,2,8,7,64307,"Health, Dental, 401k",2,No,8,7,5,0.9461738416889313,Female,40,Divorced,0.8819352250835921,0
96,Sales,Analyst,2015-04-02,Resign,Personal Reasons,8,8,5,104072,"Health, Dental",1,No,6,7,4,0.7937876424574837,Male,35,Widowed,2.2659879020130083,1
97,HR,Administrator,2018-10-29,Resign,Personal Reasons,5,7,6,119807,"Health, Dental",7,Yes,8,9,4,0.9255837572942387,Female,23,Divorced,1.4342727027294773,1
98,IT,Manager,2018-02-06,Stay,,6,9,9,83545,"Health, 401k",4,No,7,8,4,0.8702056734815861,Male,54,Married,2.5442714005182516,0
99,IT,Developer,2017-04-29,Stay,,6,9,5,76441,"Health, Dental, 401k",1,Yes,8,8,4,0.7664956838902878,Female,25,Divorced,2.096552526937334,0
100,Finance,Developer,2017-02-26,Stay,,7,10,7,61676,"Health, Dental, 401k",2,Yes,6,9,5,0.7403161436740823,Male,58,Single,2.7517172467629964,0
101,IT,Sales Rep,2020-07-29,Stay,,3,10,6,103337,"Health, Dental",3,No,10,9,4,0.7747734252857039,Female,51,Widowed,3.2250854433538034,0
102,Finance,Developer,2019-04-16,Resign,Better Opportunity,4,8,8,101524,"Health, Dental, 401k",7,Yes,7,7,4,0.888697178318187,Male,25,Divorced,1.263294780327483,1
103,IT,Manager,2021-12-24,Stay,,2,7,5,70015,"Health, 401k",6,No,8,9,5,0.9864324872202437,Female,27,Single,2.175590530789412,0
104,Sales,Developer,2016-08-19,Stay,,7,8,9,67825,"Health, 401k",1,No,6,10,5,0.93306258869256,Male,49,Married,2.706489319357217,0
105,IT,Manager,2021-06-02,Resign,Relocation,2,10,6,115653,"Health, Dental",6,No,6,10,5,0.9710382611569814,Female,32,Divorced,0.780786360910769,1
106,Finance,Manager,2016-08-10,Stay,,7,6,5,89221,"Health, 401k",5,No,9,7,3,0.7582235371981705,Male,28,Single,2.2149035129108263,0
107,Finance,Administrator,2016-08-31,Resign,Better Opportunity,7,7,6,82503,"Health, Dental",1,Yes,9,5,3,0.9743768135325678,Male,34,Married,1.625491011697937,1
108,Finance,Developer,2022-01-12,Stay,,2,9,6,79008,"Health, Dental, 401k",6,Yes,10,7,4,0.7254045937037414,Female,23,Married,3.7874747211486866,0
109,IT,Analyst,2016-02-01,Stay,,8,6,6,97967,"Health, Dental",1,Yes,7,5,3,0.9832560643181214,Female,25,Widowed,1.8353732905484288,0
110,Finance,Sales Rep,2016-11-25,Stay,,7,6,7,67729,"Health, 401k",7,Yes,9,6,3,0.7423646962174545,Male,30,Divorced,0.9922245491721071,0
111,Operations,Analyst,2016-10-09,Stay,,7,9,5,76093,"Health, Dental",7,Yes,10,6,4,0.8084589687449629,Male,58,Widowed,1.0928554646033295,0
112,Sales,Developer,2017-02-06,Stay,,7,8,10,96750,"Health, Dental, 401k",3,Yes,8,7,4,0.8036666280572081,Female,33,Single,1.9610586481374366,0
113,IT,Developer,2015-06-25,Stay,,8,7,6,97269,"Health, 401k",3,Yes,7,6,3,0.7989571061683757,Female,39,Divorced,2.621446752726368,0
114,Finance,Analyst,2018-09-08,Stay,,5,6,5,111445,"Health, Dental, 401k",4,Yes,7,7,5,0.9209846390908925,Female,62,Married,2.572379679045291,0
115,Sales,Administrator,2018-07-28,Resign,Better Opportunity,5,8,6,52078,"Health, Dental",7,Yes,9,9,3,0.9518415952508414,Female,56,Married,2.2213979776211916,1
116,IT,Developer,2015-06-25,Stay,,8,9,9,55783,"Health, Dental",3,Yes,7,9,3,0.871142013766765,Female,25,Single,3.522745256527489,0
117,Sales,Administrator,2021-12-01,Resign,Relocation,2,8,5,70618,"Health, 401k",7,Yes,10,6,5,0.8638225145708773,Female,55,Widowed,2.0510520060497504,1
118,Operations,Sales Rep,2015-08-28,Stay,,8,6,5,107903,"Health, Dental, 401k",3,No,7,6,4,0.7783923839486493,Female,41,Widowed,0.655341213472661,0
119,IT,Developer,2020-01-06,Stay,,4,7,9,75597,"Health, Dental, 401k",1,No,6,7,5,0.9709975227007024,Male,25,Widowed,0.728226543933565,0
120,Finance,Analyst,2019-09-25,Stay,,4,7,5,89302,"Health, Dental",3,No,10,10,4,0.8694332018695632,Male,51,Divorced,3.3703383738391097,0
121,HR,Administrator,2016-07-02,Stay,,7,9,6,106646,"Health, 401k",7,Yes,10,5,5,0.8233936753647688,Male,48,Single,3.189466170603458,0
122,Finance,Sales Rep,2017-06-26,Stay,,6,8,7,52467,"Health, Dental, 401k",1,No,7,5,3,0.867849782279953,Male,49,Single,3.4930010256359276,0
123,IT,Manager,2015-02-16,Stay,,9,10,5,101435,"Health, Dental",1,No,7,10,3,0.7313400092349395,Female,61,Divorced,0.9863907108282643,0
124,Finance,Sales Rep,2016-09-16,Resign,Better Opportunity,7,7,9,75488,"Health, Dental",5,Yes,9,10,4,0.7334302886319152,Male,27,Single,2.129823896294777,1
125,HR,Administrator,2020-03-29,Stay,,3,10,7,64118,"Health, Dental",1,No,6,10,5,0.978185587483518,Female,44,Widowed,0.9723501874001839,0
126,HR,Developer,2017-05-28,Stay,,6,8,5,92948,"Health, Dental, 401k",4,Yes,9,8,5,0.7655667215903348,Male,42,Divorced,1.541917409675958,0
127,HR,Developer,2018-12-27,Stay,,5,8,10,95343,"Health, Dental, 401k",1,Yes,7,6,3,0.7810843435562865,Male,35,Widowed,1.1600694103061842,0
128,Finance,Manager,2020-06-18,Resign,Better Opportunity,3,10,6,79256,"Health, Dental",1,No,6,6,4,0.8671726713458139,Female,48,Divorced,0.15162656288498333,1
129,IT,Administrator,2018-04-04,Stay,,5,9,10,87283,"Health, Dental",2,Yes,8,7,5,0.8460585907288726,Female,53,Single,2.4095994495321578,0
130,Finance,Developer,2015-03-15,Stay,,9,10,8,50327,"Health, Dental, 401k",4,No,9,6,3,0.8667198503555504,Female,60,Single,2.396271065663364,0
131,HR,Developer,2019-05-10,Stay,,4,6,10,78759,"Health, 401k",2,Yes,7,10,4,0.8096287405119906,Female,27,Single,1.9373320421778502,0
132,Operations,Administrator,2015-08-24,Resign,Better Opportunity,8,10,8,59067,"Health, 401k",5,No,10,7,5,0.8215645797494555,Male,60,Widowed,0.4873751063027226,1
133,HR,Sales Rep,2021-01-04,Stay,,3,10,7,71352,"Health, Dental, 401k",1,No,10,6,3,0.7506396620446287,Male,31,Widowed,2.3425549430821055,0
134,HR,Analyst,2016-07-03,Stay,,7,9,9,89204,"Health, Dental, 401k",7,No,7,7,5,0.8491051354434327,Female,61,Married,2.8651823502855516,0
135,IT,Sales Rep,2022-04-20,Resign,Personal Reasons,1,6,5,70452,"Health, Dental",7,Yes,8,5,4,0.8268868354790524,Female,51,Widowed,1.4035935964890767,1
136,Finance,Administrator,2019-02-06,Resign,Relocation,5,8,8,73761,"Health, 401k",4,No,8,9,3,0.9820251237816809,Male,30,Married,4.8120933574570515,1
137,IT,Sales Rep,2016-10-01,Stay,,7,6,10,87800,"Health, Dental",4,No,6,9,3,0.7389361693006128,Male,54,Divorced,1.7092085773276917,0
138,Finance,Developer,2017-07-30,Stay,,6,10,8,88312,"Health, Dental, 401k",5,No,10,10,3,0.884722129129814,Male,38,Single,0.5871821773061131,0
139,HR,Administrator,2015-11-01,Stay,,8,8,5,83055,"Health, Dental",3,Yes,8,10,4,0.9899578145010183,Female,43,Widowed,1.0561793791787955,0
140,HR,Developer,2017-11-10,Stay,,6,9,5,106918,"Health, 401k",4,Yes,9,6,3,0.7293885322075792,Male,53,Single,4.54277121418399,0
141,HR,Developer,2016-09-29,Stay,,7,8,9,61040,"Health, Dental",3,Yes,8,10,3,0.9163355586760147,Male,64,Single,2.54636443807454,0
142,Finance,Developer,2018-10-02,Stay,,5,9,5,80597,"Health, Dental",5,Yes,9,10,4,0.9596548107287521,Male,27,Married,4.983268596402233,0
143,HR,Sales Rep,2019-05-01,Stay,,4,10,8,119864,"Health, Dental",7,Yes,10,5,3,0.7996698944794972,Female,25,Single,4.89503679174767,0
144,IT,Analyst,2020-07-27,Stay,,3,6,5,95677,"Health, Dental, 401k",6,Yes,9,9,4,0.8708090283255261,Male,46,Divorced,2.5166171897322016,0
145,IT,Manager,2021-01-04,Stay,,3,6,6,116520,"Health, 401k",6,Yes,7,9,5,0.7268890403580505,Female,52,Married,3.179016215942912,0
146,HR,Analyst,2015-08-08,Stay,,8,6,8,100465,"Health, 401k",3,Yes,9,7,4,0.8011169945311843,Female,33,Married,1.7813530479469257,0
147,Operations,Manager,2016-06-12,Stay,,7,6,7,86158,"Health, Dental",6,No,7,9,4,0.7746494345531516,Female,63,Divorced,3.906644284951884,0
148,Finance,Administrator,2015-07-30,Stay,,8,6,9,117374,"Health, 401k",5,Yes,8,6,3,0.9056104083661888,Male,57,Widowed,2.519457967996361,0
149,Operations,Analyst,2021-02-27,Stay,,3,7,8,107528,"Health, Dental, 401k",1,No,7,5,5,0.7167063331324173,Male,48,Married,2.8226836564771443,0
150,HR,Manager,2016-10-14,Stay,,7,10,5,61586,"Health, Dental",1,No,10,7,4,0.8449686990607712,Male,24,Divorced,3.288478780416724,0
151,Operations,Developer,2015-12-18,Stay,,8,6,9,68463,"Health, Dental, 401k",1,No,10,10,4,0.8661537522203681,Male,28,Widowed,2.9595808543530655,0
152,Finance,Administrator,2019-05-25,Resign,Relocation,4,6,9,68000,"Health, Dental",2,No,9,8,4,0.9793763888984839,Male,33,Divorced,1.6252964482003884,1
153,Finance,Analyst,2019-06-01,Resign,Relocation,4,9,10,99350,"Health, Dental",4,Yes,10,6,3,0.9763366569696069,Male,64,Married,1.23695853833427,1
154,Operations,Sales Rep,2015-03-18,Stay,,9,10,7,81299,"Health, Dental, 401k",5,No,6,7,5,0.7019779201907957,Female,43,Single,0.8754071520192769,0
155,Sales,Administrator,2017-08-21,Stay,,6,9,10,57984,"Health, Dental",3,No,9,7,5,0.8743093104857284,Male,43,Widowed,3.869960128066881,0
156,Finance,Developer,2022-02-09,Resign,Better Opportunity,2,6,6,65210,"Health, Dental, 401k",5,Yes,6,10,3,0.8199364634533266,Male,38,Widowed,0.8557648499901627,1
157,HR,Developer,2017-03-07,Stay,,7,10,6,81290,"Health, Dental",2,Yes,10,10,4,0.8608768371982455,Male,30,Divorced,2.396364705758616,0
158,HR,Developer,2016-12-07,Stay,,7,10,5,66854,"Health, Dental, 401k",3,Yes,8,8,5,0.8948800187443628,Male,45,Single,1.648931290492544,0
159,HR,Manager,2015-05-05,Resign,Relocation,8,10,6,95613,"Health, 401k",7,Yes,8,5,3,0.782313020039497,Male,61,Single,1.5121165284451166,1
160,Sales,Analyst,2021-12-20,Resign,Personal Reasons,2,8,9,67125,"Health, 401k",7,No,10,8,4,0.9283452248915319,Male,43,Married,1.189078096857099,1
161,HR,Administrator,2020-07-27,Stay,,3,7,10,54560,"Health, Dental",2,Yes,8,8,5,0.9761558525956091,Male,22,Divorced,0.09558576139089892,0
162,Operations,Analyst,2019-09-26,Stay,,4,7,5,60081,"Health, 401k",3,No,8,6,4,0.9666358229687826,Female,59,Married,2.3315168077132853,0
163,Sales,Analyst,2020-04-03,Stay,,3,6,6,72164,"Health, Dental, 401k",4,No,10,6,3,0.9266028520395232,Female,33,Married,1.1321864727664621,0
164,Finance,Manager,2019-08-23,Stay,,4,7,5,75086,"Health, Dental, 401k",1,No,10,9,3,0.857336975241308,Male,57,Married,3.6639599458251633,0
165,Sales,Manager,2015-07-29,Stay,,8,10,9,106930,"Health, Dental, 401k",1,Yes,6,7,4,0.8455577590462005,Male,56,Widowed,4.986171464961185,0
166,HR,Developer,2016-10-12,Stay,,7,8,10,112909,"Health, Dental, 401k",4,No,7,6,3,0.9234995910574548,Male,48,Divorced,3.137774792196714,0
